season,player_key,is_all_star_this_season,mvp_vote_points,mvp_vote_max_points,mvp_vote_share,player
2010,dirk nowitzki,1,0.0,0.0,0.0,Dirk Nowitzki
2010,dwight howard,1,0.0,0.0,0.0,Dwight Howard
2010,dwyane wade,1,0.0,0.0,0.0,Dwyane Wade
2010,gerald wallace,1,0.0,0.0,0.0,Gerald Wallace
2010,jason kidd,1,0.0,0.0,0.0,Jason Kidd
2010,joe johnson,1,0.0,0.0,0.0,Joe Johnson
2010,kevin durant,1,0.0,0.0,0.0,Kevin Durant
2010,kevin garnett,1,0.0,0.0,0.0,Kevin Garnett
2010,kobe bryant,1,0.0,0.0,0.0,Kobe Bryant
2010,lebron james,1,0.0,0.0,0.0,LeBron James
2010,pau gasol,1,0.0,0.0,0.0,Pau Gasol
2010,paul pierce,1,0.0,0.0,0.0,Paul Pierce
2010,rajon rondo,1,0.0,0.0,0.0,Rajon Rondo
2010,steve nash,1,0.0,0.0,0.0,Steve Nash
2010,tim duncan,1,0.0,0.0,0.0,Tim Duncan
2010,zach randolph,1,0.0,0.0,0.0,Zach Randolph
2011,al horford,1,0.0,0.0,0.0,Al Horford
2011,amar'e stoudemire,1,0.0,0.0,0.0,Amar'e Stoudemire
2011,blake griffin,1,0.0,0.0,0.0,Blake Griffin
2011,carmelo anthony,1,0.0,0.0,0.0,Carmelo Anthony
2011,chris bosh,1,0.0,0.0,0.0,Chris Bosh
2011,chris paul,1,0.0,0.0,0.0,Chris Paul
2011,deron williams,1,0.0,0.0,0.0,Deron Williams
2011,derrick rose,1,0.0,0.0,0.0,Derrick Rose
2011,dwight howard,1,0.0,0.0,0.0,Dwight Howard
2011,dwyane wade,1,0.0,0.0,0.0,Dwyane Wade
2011,joe johnson,1,0.0,0.0,0.0,Joe Johnson
2011,kevin durant,1,0.0,0.0,0.0,Kevin Durant
2011,kevin garnett,1,0.0,0.0,0.0,Kevin Garnett
2011,kevin love,1,0.0,0.0,0.0,Kevin Love
2011,kobe bryant,1,0.0,0.0,0.0,Kobe Bryant
2011,lebron james,1,0.0,0.0,0.0,LeBron James
2011,manu ginobili,1,0.0,0.0,0.0,Manu Ginobili
2011,pau gasol,1,0.0,0.0,0.0,Pau Gasol
2011,paul pierce,1,0.0,0.0,0.0,Paul Pierce
2011,rajon rondo,1,0.0,0.0,0.0,Rajon Rondo
2011,ray allen,1,0.0,0.0,0.0,Ray Allen
2011,russell westbrook,1,0.0,0.0,0.0,Russell Westbrook
2011,tim duncan,1,0.0,0.0,0.0,Tim Duncan
2011,yao ming,1,0.0,0.0,0.0,Yao Ming
2012,andre iguodala,1,0.0,0.0,0.0,Andre Iguodala
2012,andrew bynum,1,0.0,0.0,0.0,Andrew Bynum
2012,blake griffin,1,0.0,0.0,0.0,Blake Griffin
2012,carmelo anthony,1,0.0,0.0,0.0,Carmelo Anthony
2012,chris bosh,1,0.0,0.0,0.0,Chris Bosh
2012,chris paul,1,0.0,0.0,0.0,Chris Paul
